date,open,high,low,close
2003-11-17,645.82,648.19,636.97,640.84
2003-11-18,640.76,642.54,632.85,636.75
2003-11-19,635.37,637.66,609.13,619.03
2003-11-20,627.72,628.69,613.99,614.23
2003-11-21,612.13,620.09,603.82,613.43
2003-11-24,614.13,615.37,604.66,605.29
2003-11-25,611.18,613.82,604.3,605.03
2003-11-26,605.37,630.82,605.37,630.82
2003-11-27,632.83,638.33,626.14,635.25
2003-11-28,639.0,646.03,638.86,646.03
2003-12-01,648.72,650.31,641.15,641.15
2003-12-02,644.64,650.05,643.31,646.64
2003-12-03,646.56,659.43,646.56,659.43
2003-12-04,661.07,664.82,654.95,659.29
2003-12-08,660.18,664.65,656.36,664.36
2003-12-09,664.74,670.46,664.74,667.08
2003-12-11,668.42,680.87,668.42,674.0
2003-12-12,680.71,682.97,671.39,674.45
2003-12-15,675.13,690.64,675.13,689.05
2003-12-16,687.64,694.81,685.48,691.88
2003-12-17,696.66,699.22,680.4,687.88
2003-12-18,689.99,702.12,689.99,700.93
2003-12-19,701.79,715.56,701.79,709.15
2003-12-22,716.98,723.68,715.48,718.33
2003-12-23,722.99,727.92,717.19,718.47
2003-12-24,721.05,727.85,720.4,723.39
2003-12-25,723.33,733.79,715.41,721.65
2003-12-26,723.36,736.3,716.61,734.89
2003-12-29,749.06,755.09,741.37,746.81
2003-12-30,746.89,767.41,746.89,764.23
2003-12-31,767.16,776.78,767.16,772.15
2004-01-05,774.19,790.93,773.56,790.93
2004-01-06,792.5,799.2,767.56,769.68
2004-01-07,763.54,765.44,750.97,750.97
2004-01-08,757.8,773.55,757.71,773.55
2004-01-09,780.8,788.36,775.53,783.44
2004-01-12,792.6,794.01,786.86,794.01
2004-01-13,797.9,802.19,790.01,792.23
2004-01-14,793.68,797.71,784.82,790.84
2004-01-15,793.2,794.33,766.53,767.39
2004-01-16,767.39,778.96,757.75,778.44
2004-01-19,779.59,788.84,773.24,774.67
2004-01-20,776.64,778.41,769.22,771.88
2004-01-21,779.48,783.35,757.49,766.72
2004-01-22,765.15,769.6,756.64,760.17
2004-01-23,757.65,757.65,738.15,754.44
2004-01-26,752.82,756.23,725.56,725.56
2004-01-27,727.25,740.41,717.03,739.47
2004-01-28,737.4,740.63,721.93,722.14
2004-01-29,715.94,722.89,711.95,714.04
2004-01-30,715.09,722.32,693.91,698.9
2004-02-02,700.67,702.93,666.57,667.33
2004-02-03,660.05,699.75,649.31,699.75
2004-02-04,700.94,718.06,693.94,718.06
2004-02-05,720.36,734.55,716.37,734.55
2004-02-06,735.92,740.83,707.23,711.15
2004-02-09,717.39,732.05,717.39,732.05
2004-02-10,734.14,741.81,730.49,739.64
2004-02-11,742.31,753.24,741.72,753.24
2004-02-12,755.43,762.77,748.16,748.16
2004-02-13,750.09,755.18,743.65,755.18
2004-02-16,755.07,757.7,736.13,738.92
2004-02-17,738.24,748.86,734.69,748.83
2004-02-18,750.21,750.76,742.33,742.33
2004-02-19,744.66,744.7,731.28,732.97
2004-02-20,728.71,728.95,715.51,728.64
2004-02-23,729.4,731.74,724.2,724.86
2004-02-24,724.96,727.51,717.94,720.28
2004-02-25,719.65,722.91,703.98,704.65
2004-02-26,706.27,711.86,686.41,697.92
2004-02-27,694.26,716.3,693.94,716.3
2004-03-01,717.52,721.72,704.53,705.25
2004-03-02,705.37,711.07,700.83,701.75
2004-03-03,701.23,704.21,694.21,696.24
2004-03-04,697.74,701.95,693.75,700.59
2004-03-08,703.74,707.7,701.37,704.46
2004-03-09,704.78,712.15,704.78,710.66
2004-03-10,713.69,714.63,702.47,705.29
2004-03-11,702.87,708.67,697.88,707.74
2004-03-12,706.72,706.72,693.95,695.08
2004-03-15,695.22,699.45,678.42,678.42
2004-03-16,677.88,677.88,665.38,669.8
2004-03-17,670.32,676.09,670.32,674.41
