date,ytm
2012-04-06,4.393163
2012-04-07,4.393512
2012-04-08,4.393863
2012-04-09,4.394221
2012-04-10,4.392578
2012-04-11,4.367516
2012-04-12,4.366137
2012-04-13,4.366476
2012-04-14,4.366818
2012-04-15,4.367161
2012-04-16,4.367516
2012-04-17,4.332109
2012-04-18,4.3315
2012-04-19,4.325619
2012-04-20,4.322282
2012-04-21,4.322614
2012-04-22,4.322952
2012-04-23,4.308651
2012-04-24,4.309604
2012-04-25,4.317136
2012-04-26,4.330207
2012-04-27,4.325546
2012-04-28,4.325884
2012-04-29,4.326224
2012-04-30,4.347278
2012-05-01,4.347622
2012-05-02,4.336461
2012-05-03,4.329651
2012-05-04,4.328907
2012-05-05,4.329256
2012-05-06,4.329604
2012-05-07,4.329956
2012-05-08,4.3269400000000005
2012-05-09,4.335762
2012-05-10,4.339155
2012-05-11,4.340701
2012-05-12,4.341063
2012-05-13,4.341429
2012-05-14,4.321947
2012-05-15,4.318196
2012-05-16,4.305651
2012-05-17,4.306802
2012-05-18,4.27892
2012-05-19,4.279267
2012-05-20,4.279597
2012-05-21,4.304385
2012-05-22,4.310826
2012-05-23,4.323671
2012-05-24,4.335146
2012-05-25,4.352257
2012-05-26,4.352587
2012-05-27,4.35293
2012-05-28,4.363349
2012-05-29,4.361762
2012-05-30,4.327002
2012-05-31,4.290226
2012-06-01,4.262034
2012-06-02,4.26234
2012-06-03,4.262644
2012-06-04,4.262952
2012-06-05,4.221317
2012-06-06,4.236331
2012-06-07,4.23034
2012-06-08,4.223327
2012-06-09,4.223619
2012-06-10,4.223912
2012-06-11,4.228429
2012-06-12,4.224415
2012-06-13,4.216633
2012-06-14,4.213384
2012-06-15,4.172756
2012-06-16,4.17303
2012-06-17,4.173311
2012-06-18,4.16409
2012-06-19,4.161184
2012-06-20,4.15188
2012-06-21,4.153194
2012-06-22,4.149266
2012-06-23,4.149535
2012-06-24,4.149803
2012-06-25,4.149331
2012-06-26,4.149558
2012-06-27,4.150274
2012-06-28,4.15636
2012-06-29,4.15798
2012-06-30,4.158217
2012-07-01,4.158494
2012-07-02,4.162832
2012-07-03,4.161458
2012-07-04,4.177576
2012-07-05,4.184684
2012-07-06,4.168985
2012-07-07,4.169257
2012-07-08,4.169527
2012-07-09,4.124662
2012-07-10,4.124072
2012-07-11,4.13273
2012-07-12,4.138522
2012-07-13,4.127094
2012-07-14,4.127358
2012-07-15,4.1276209999999995
2012-07-16,4.089706
2012-07-17,4.062305
2012-07-18,4.017812
2012-07-19,4.025323
2012-07-20,4.021165
2012-07-21,4.021412
2012-07-22,4.02166
2012-07-23,3.962221
2012-07-24,3.967788
2012-07-25,3.973786
2012-07-26,3.981324
2012-07-27,3.98279
2012-07-28,3.983031
2012-07-29,3.983269
2012-07-30,3.985312
2012-07-31,4.01686
2012-08-01,4.008705
2012-08-02,4.008946
2012-08-03,4.039873
